run_id,run_name,status,dataset_variant,n_channels,architecture,n_conv_layers,total_params,batch_size,learning_rate,epochs_max,epochs_completed,best_epoch,best_val_loss,best_val_mae,best_val_rmse,train_loss_at_best,final_train_loss,duration_min,notes,run_dir
20260828_232119_prueba_inicial,Prueba inicial,completed,weather_absolute,40.0,32@3x3 → 32@3x3 → 64@3x3,3,39361,16,0.001,20.0,20,17,1.1233779191970823,0.9779136776924132,1.241174340248108,0.6136593818664551,0.5833808183670044,8.81,Primera prueba para testear el entrenamiento semiautomatico con registro de resultados,C:\Urbanheat\06_Results\metrics\cnn_runs\20260828_232119_prueba_inicial
20260828_234518_inicial_weather_center,inicial_weather_center,completed,weather_centered,40.0,32@3x3 → 64@3x3 → 64@3x3,3,67041,32,0.001,12.0,12,7,1.2581329345703125,1.0156067609786987,1.313509225845337,0.7587882876396179,0.6401673555374146,6.81,"Prueba rápida para evaluar como se comporta weather centered, con el doble de parámetros",C:\Urbanheat\06_Results\metrics\cnn_runs\20260828_234518_inicial_weather_center
20260828_235729_profundidad_5,profundidad 5,completed,weather_absolute,40.0,64@3x3 → 128@3x3 → 64@5x5 → 64@3x3,4,338817,32,0.0003,16.0,12,7,1.4147251844406128,1.070101261138916,1.392854928970337,0.668558657169342,0.5142250061035156,24.37,"Prueba más pesada, bajamos learning rate y creamos 5 convolucionales con más filtros para ver si captamos sutilezas",C:\Urbanheat\06_Results\metrics\cnn_runs\20260828_235729_profundidad_5
20260829_002915_compact_2l,compact_2L,interrupted,base,,32@3x3 → 64@3x3,2,25793,16,0.001,,11,9,1.1797655820846558,0.986384093761444,1.271943211555481,1.2052139043807983,,3.62,CNN compacta de baja capacidad,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_002915_compact_2l
20260829_003254_baseline_3l,baseline_3L,interrupted,base,,32@3x3 → 64@3x3 → 64@3x3,3,62721,16,0.001,,1,1,1.4607552289962769,1.0730459690093994,1.415332913398743,1.8274316787719729,,0.72,Arquitectura de referencia,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_003254_baseline_3l
20260829_003754_compact_2l,compact_2L,completed,base,,32@3x3 → 64@3x3,2,25793,16,0.001,,20,15,0.984065592288971,0.8902489542961121,1.1616675853729248,1.122809648513794,,6.31,CNN compacta de baja capacidad,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_003754_compact_2l
20260829_004414_baseline_3l,baseline_3L,completed,base,,32@3x3 → 64@3x3 → 64@3x3,3,62721,16,0.001,,25,25,0.8565508127212524,0.8294985294342041,1.08379328250885,0.9264693260192872,,11.72,Arquitectura de referencia,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_004414_baseline_3l
20260829_005559_deep_4l,deep_4L,completed,base,,32@3x3 → 64@3x3 → 64@3x3 → 64@3x3,4,99649,16,0.001,,25,23,0.7898914813995361,0.8130199909210205,1.0407671928405762,0.8827500343322754,,16.63,Mayor profundidad manteniendo kernels locales,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_005559_deep_4l
20260829_011239_high_capacity_5l,high_capacity_5L,completed,base,,64@3x3 → 128@3x3 → 128@3x3 → 128@3x3 → 64@3x3,5,457345,16,0.001,,25,23,0.7148873805999756,0.7776622772216797,0.990121841430664,0.797227680683136,,77.5,Diagnóstico: comprobar si el límite actual es capacidad,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_011239_high_capacity_5l
20260829_023011_context_5x5,context_5x5,completed,base,,32@3x3 → 64@3x3 → 64@5x5,3,128257,16,0.001,,19,14,0.8679454922676086,0.8458077311515808,1.0909782648086548,0.9491930603981018,,16.36,Mayor receptive field mediante kernel final 5x5,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_023011_context_5x5
