Unnamed: 0,feature,family,dtype,null_pct,unique,mean,st_dev,min,max,median
0,cell_id,identifier,str,0.0,112989,,,,,
1,scene_id,identifier,str,0.0,37,,,,,
2,date_acquired,identifier,datetime64[us],0.0,37,2024-06-09 19:29:55.269196,470 days 23:53:50.610834,2022-06-11 00:00:00,2026-06-23 00:00:00,2024-08-03 00:00:00
3,row,identifier,int64,0.0,560,285.49077266598425,123.4172551415927,33,592,264.0
4,col,identifier,int64,0.0,489,306.9064881548453,95.94043976034098,34,522,310.0
5,NDVI,spectral,float32,0.0,2802396,0.28752053,0.23172437,-0.98889554,1.0,0.21709555
6,NDBI,spectral,float32,0.0,2840301,0.023869721,0.12764141,-0.64561397,1.0,0.043930467
7,MNDWI,spectral,float32,0.0,2631755,-0.38361925,0.14546295,-1.0,0.82563657,-0.40314305
8,T,weather,float32,0.0,1932,26.41433,5.5033264,14.4,34.8,28.96
9,T_3h,weather,float32,0.0,2208,25.157616,5.745098,10.67,33.07,28.01
10,T_max24h,weather,float32,0.0,1982,27.81456,5.5377727,15.0,35.6,30.02
11,HR,weather,float32,0.0,4574,49.49563,9.390126,27.0,72.75,48.93
12,HR_6h,weather,float32,0.0,4860,55.035763,9.595485,31.23,79.82,53.79
13,WS,weather,float32,0.0,541,2.9345305,1.0070039,1.0,6.4,2.66
14,WS_6h,weather,float32,0.0,598,2.4385457,0.99080914,0.65,6.62,2.18
15,WS_U,weather,float32,0.0,1051,-0.11471718,1.8850517,-5.84,4.66,-0.58
16,WS_V,weather,float32,0.0,781,1.9599292,1.24628,-2.6,5.2,2.07
17,WS_U_6h,weather,float32,0.0,1009,0.43640715,1.6337999,-5.22,4.86,0.53
18,WS_V_6h,weather,float32,0.0,784,0.08749239,1.2742146,-5.69,2.14,0.39
19,Rain_72h,weather,float32,0.0,1721,1.0058773,2.728255,0.0,17.2,0.0
20,Last_rain,weather,float32,0.0,6151,62.415977,16.84814,10.5,72.0,72.0
21,Solar,weather,float32,0.0,17803,863.84204,47.654312,714.0,956.0,865.87
22,Solar_24h,weather,float32,0.0,1322,25.334415,3.5469427,17.57,31.01,25.73
23,elevation,topographic,float32,0.0,111737,96.61152,112.18906,-5.509313,514.6194,48.101753
24,slope,topographic,float32,0.0,111947,7.59285,9.108436,0.0,58.934734,2.9203095
25,aspect_sin,topographic,float32,0.0,111833,0.2663585,0.58696485,-1.0,1.0,0.4198066
26,aspect_cos,topographic,float32,0.0,111772,-0.19271111,0.6102672,-0.999988,1.0,-0.32762882
27,svf_mean,topographic,float32,0.0132826576154266,64475,0.55464005,0.1681096,0.11062937,1.0,0.519375
28,svf_std,topographic,float32,0.0132826576154266,111936,0.22720842,0.05483934,0.0,0.41904703,0.22841625
29,lc_sea_frac,land_cover,float32,0.0,515,0.00234367,0.035401005,0.0,1.0,0.0
30,lc_built_dense_frac,land_cover,float32,0.0,901,0.3471053,0.44753578,0.0,1.0,0.0
31,lc_built_low_density_frac,land_cover,float32,0.0,897,0.03664546,0.16804402,0.0,1.0,0.0
32,lc_transport_surfaces_frac,land_cover,float32,0.0,898,0.076970406,0.24755602,0.0,1.0,0.0
33,lc_industrial_frac,land_cover,float32,0.0,901,0.16859013,0.34472638,0.0,1.0,0.0
34,lc_urban_green_frac,land_cover,float32,0.0,901,0.13979734,0.29808366,0.0,1.0,0.0
35,lc_tree_cover_frac,land_cover,float32,0.0,901,0.13424656,0.3225899,0.0,1.0,0.0
36,lc_low_vegetation_frac,land_cover,float32,0.0,901,0.06304332,0.21715114,0.0,1.0,0.0
37,lc_bare_soil_frac,land_cover,float32,0.0,879,0.023846027,0.12991549,0.0,1.0,0.0
38,lc_beach_frac,land_cover,float32,0.0,315,0.0020887174,0.04072649,0.0,1.0,0.0
39,lc_water_frac,land_cover,float32,0.0,428,0.0025619036,0.041928165,0.0,1.0,0.0
40,lc_agriculture_frac,land_cover,float32,0.0,415,0.0027611768,0.044413086,0.0,1.0,0.0
41,lc_n_classes,land_cover,uint8,0.0,6,1.4426906551301906,0.6172608037863717,0,5,1.0
42,dist_park_m,distance,float32,0.0,112818,647.58777,843.96063,0.5410321,4584.584,295.31192
43,dist_shelter_m,distance,float32,0.0,112798,650.9823,851.99634,0.54002315,4624.0146,272.17682
44,dist_sea_m,distance,float32,0.0,18963,3909.094,2760.7915,0.0,12098.316,3627.2097
45,is_core,season,bool,0.0,2,0.7284577189297711,0.44475512197096323,False,True,1.0
46,centroid.x,geographical,float32,0.0,489,429012.2,2878.2131,420825.0,435465.0,429105.0
47,centroid.y,geographical,float32,0.0,560,4.5834905e+06,3702.5176,4.574295e+06,4.591065e+06,4.584135e+06
48,district_name,administrative,str,0.0001693599331657,10,,,,,
49,barri_name,administrative,str,0.0001693599331657,73,,,,,
50,section_code,administrative,str,0.0001693599331657,1068,,,,,
51,LST_Celsius,target,float32,0.0,11994,37.86452,7.3763227,14.983922,60.61449,39.392002
