scene_id,gee_collection_id,satellite,sensor,date_acquired,scene_center_time,year,month,is_core,cloud_cover,aoi_cloud,wrs_path,wrs_row,processing_level,ok_lst_processing,notes,ok_dashboard
LC08_L2SP_197031_20200622_20200823_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2020-06-22,10:30:10.3607850Z,2020,6,True,3.28,1.23,197,31,L2SP,True,,False
LC08_L2SP_197031_20210609_20210615_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2021-06-09,10:30:15.8611159Z,2021,6,True,2.84,2.15,197,31,L2SP,True,,False
LC08_L2SP_197031_20210711_20210720_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2021-07-11,10:30:22.2259309Z,2021,7,True,1.89,18.69,197,31,L2SP,False,A few clouds over BCN,False
LC08_L2SP_197031_20210812_20210819_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2021-08-12,10:30:35.5321959Z,2021,8,True,1.37,1.93,197,31,L2SP,True,Haze but ok,False
LC08_L2SP_198031_20210718_20210729_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2021-07-18,10:36:34.6481540Z,2021,7,True,0.5,3.79,198,31,L2SP,True,,False
LC08_L2SP_197031_20220612_20220617_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2022-06-12,10:30:36.3626109Z,2022,6,True,1.74,1.49,197,31,L2SP,True,,False
LC08_L2SP_197031_20220714_20220726_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2022-07-14,10:30:40.8069490Z,2022,7,True,1.65,0.91,197,31,L2SP,True,,False
LC08_L2SP_198031_20220705_20220708_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2022-07-05,10:36:53.1954770Z,2022,7,True,2.78,7.54,198,31,L2SP,False,Haze but ok; Composite Sentinel-2 descartado por cobertura insuficiente: 90.2%,False
LC08_L2SP_198031_20220721_20220726_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2022-07-21,10:36:56.6464880Z,2022,7,True,0.32,1.33,198,31,L2SP,True,,False
LC08_L2SP_198031_20230708_20230718_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2023-07-08,10:36:19.3467360Z,2023,7,True,1.77,1.57,198,31,L2SP,True,,False
LC08_L2SP_198031_20230809_20230812_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2023-08-09,10:36:29.8020090Z,2023,8,True,2.51,10.78,198,31,L2SP,False,A few scattered clouds,False
LC08_L2SP_198031_20230825_20230905_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2023-08-25,10:36:38.3492850Z,2023,8,True,1.05,1.35,198,31,L2SP,True,,False
LC08_L2SP_198031_20230926_20231003_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2023-09-26,10:36:44.9252750Z,2023,9,True,2.21,0.49,198,31,L2SP,False,Just a few clouds..lets keep this one; Composite Sentinel-2 descartado por cobertura insuficiente: 91.0%,False
LC08_L2SP_197031_20240804_20240808_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2024-08-04,10:30:02.5277300Z,2024,8,True,2.47,31.5,197,31,L2SP,False,Clous over BCN,False
LC08_L2SP_197031_20240820_20240830_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2024-08-20,10:30:12.5751730Z,2024,8,True,1.38,0.64,197,31,L2SP,True,,False
LC08_L2SP_198031_20240710_20240718_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2024-07-10,10:36:01.9420019Z,2024,7,True,0.91,5.89,198,31,L2SP,True,,False
LC08_L2SP_198031_20240811_20240815_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2024-08-11,10:36:15.6544360Z,2024,8,True,0.62,3.36,198,31,L2SP,True,,False
LC08_L2SP_198031_20240928_20241005_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2024-09-28,10:36:27.5546080Z,2024,9,True,2.74,0.0,198,31,L2SP,True,,False
LC08_L2SP_197031_20250620_20250627_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2025-06-20,10:30:09.1207160Z,2025,6,True,1.92,3.72,197,31,L2SP,False,Composite Sentinel-2 descartado por cobertura insuficiente: 36.1%,False
LC08_L2SP_197031_20250807_20250815_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2025-08-07,10:30:26.7610949Z,2025,8,True,4.74,1.86,197,31,L2SP,False,Composite Sentinel-2 descartado por cobertura insuficiente: 73.4%,False
LC08_L2SP_198031_20250627_20250710_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2025-06-27,10:36:23.0488880Z,2025,6,True,0.88,7.07,198,31,L2SP,True,,False
LC08_L2SP_198031_20250729_20250807_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2025-07-29,10:36:31.5774670Z,2025,7,True,2.83,42.38,198,31,L2SP,False,Huge clouds,False
LC08_L2SP_198031_20250814_20250821_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2025-08-14,10:36:40.7941719Z,2025,8,True,3.19,0.93,198,31,L2SP,True,,False
LC08_L2SP_198031_20250830_20250903_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2025-08-30,10:36:43.2581509Z,2025,8,True,0.76,0.53,198,31,L2SP,True,,False
LC08_L2SP_198031_20250915_20250920_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2025-09-15,10:36:49.2868640Z,2025,9,True,1.94,36.77,198,31,L2SP,False,Scattered clouds,False
LC08_L2SP_197031_20260623_20260706_02_T1,LANDSAT/LC08/C02/T1_L2,LANDSAT_8,OLI_TIRS,2026-06-23,10:29:45.2761760Z,2026,6,True,3.32,1.06,197,31,L2SP,True,,False
